Material,Operation,Tool Material,DOC,Cutter Diameter,Feed,Speed
plain carbon steel,end mill,HSS,.25,.5,.001,140
plain carbon steel,end mill,HSS,.25,.75,.003,140
plain carbon steel,end mill,HSS,.25,1,.004,140
plain carbon steel,end mill,HSS,.05,.25,.001,140
plain carbon steel,end mill,HSS,.05,.5,.002,140
plain carbon steel,end mill,HSS,.05,.75,.003,140
plain carbon steel,end mill,HSS,.05,1,.004,140
plain carbon steel,slab mill,HSS,,,.005,140
plain carbon steel,form cutter,HSS,,,.005,140
plain carbon steel,face mill,HSS,,,.007,140
plain carbon steel,slotting,HSS,,,.005,140
plain carbon steel,end mill,HSS,.1,,.005,140
aluminum,end mill,HSS,,15,165
